Treatment ID,Plot Number,Depth,Tray ID,Unique Indicator,%N,%C,Sample Weight,C:N,,Note,Chex,If Dupes %Difference
C1,3,0-10,B3,53,0.1988252,1.390192,15.088,6.992031191,,,,
C1,3,10-20,B4,54,0.1799839,1.407713,14.989,7.821327352,,,,
C1,4,0-10,B5,55,0.2103559,1.441387,15.029,6.852134882,,,,
C1,4,10-20,B6,56,0.2106591,1.431957,15.119,6.797508392,,,,
C1,5,0-10,B7,57,0.2118121,1.590183,15.076,7.507517276,,,,
C1,5,10-20,B8,58,0.176631,1.282467,15.154,7.260713012,,,,
C2,1,0-10,F6,59,0.1504185,1.220106,14.89,8.111409168,,,,
C2,1,10-20,F7,60,0.1302595,1.00199,15.05,7.692260449,,,,
C2,2,0-10,C1,61,0.1683644,1.362909,15.002,8.094995141,,,,
C2,2,10-20,A4,62,0.1516276,1.121034,15.056,7.393337361,,,,
C2,3,0-10,A5,63,0.2444057,2.095946,15.025,8.575683791,,,,
C2,3,10-20,A6,64,0.2829608,2.608886,15.023,9.219955556,,,,
C2,4,0-10,A7,65,0.2359101,1.924613,14.979,8.15824757,,,,
C2,4,10-20,A8,66,0.2070673,1.660307,15.004,8.01819988,,,,
C2,5,10-20,A9,67,0.2198025,1.821171,15.078,8.285488109,,,,
C2,5,0-10,A10,68,0.2674998,2.257682,15.052,8.439939021,,,,
Treatment Series,,,,,,,,,,,,
T1,1,0-10,F5,69,0.1812466,1.37521,15.096,7.587507848,Tray A,w/in,,
T1,1,0-10,E3,69,0.2069649,1.753398,15.092,8.471958289,Tray 1,w/in,24.18,Do-over
T1,1,10-20,E4,70,0.1684738,1.260409,15.093,7.481335377,,,,
T1,2,0-10,E5,71,0.2117374,1.961028,14.94,9.261604232,,,,
T1,2,10-20,A2,72,0.03124169,1.642961,16.998,52.5887364,,,,
T1,3,10-20,E7,73,0.2007988,1.385677,15.045,6.900823112,,,,
T1,3,0-10,E8,74,0.1660931,1.245741,15.03,7.500257386,,,,
T1,4,0-10,A1,75,0.01370161,1.535133,13.977,112.0403369,,,,
T1,4,10-20,E9,76,0.1596768,1.258157,14.936,7.879397633,,,,
T1,5,0-10,E10,77,0.2021021,2.048447,15.064,10.13570369,,,,
T1,5,10-20,E11,78,0.1527986,1.290659,14.944,8.446798596,,,,
T2,1,0-10,C12,79,0.2517101,2.097405,14.98,8.332621536,,,,
T2,1,10-20,C6,80,0.236335,1.973366,14.95,8.349867772,,,,
T2,2,0-10,B5,81,0.05018191,2.037191,14.931,40.59612318,,,,
T2,2,10-20,C8,82,0.2540509,2.327365,15.07,9.16101852,,,,
T2,3,0-10,C7,83,0.2293483,1.873813,15.052,8.170163023,,,,
T2,3,10-20,D9,84,0.1863987,1.503046,14.976,8.06360774,,,,
T2,4,0-10,C5,85,0.2790067,2.525406,15.015,9.051417045,,,,
T2,4,10-20,D11,86,0.2367968,1.945845,14.946,8.21736189,,,,
T2,5,0-10,A11,87,0.03311367,2.021683,14.084,61.05282199,,,,
T2,5,10-20,C11,88,0.4047713,3.571995,15.085,8.824723986,,,,
T3,1,0-10,A11,89,0.1938427,2.189195,15.044,11.29366749,,,,
T3,1,10-20,A12,90,0.1792285,1.491336,15.012,8.320864148,,,,
T3,2,0-10,C3,91,0.1787263,1.658705,14.938,9.280699035,,,,
T3,2,10-20,A6,92,0.03739797,1.599236,20.963,42.76264193,,,,
T3,3,0-10,B3,93,0.219145,1.775588,15.039,8.102343197,,,,
T3,3,10-20,B4,94,0.2160751,1.725557,14.945,7.985913231,,,,
T3,4,10-20,B5,95,0.1965564,1.674832,15.074,8.520872381,,,,
T3,4,0-10,B6,96,0.1892329,1.578585,15.048,8.342021921,,,,
T3,5,0-10,B7,97,0.174177,1.580831,15.02,9.076003146,,,,
T3,5,10-20,B8,98,0.1704378,1.515375,14.947,8.891073459,,,,
T4,1,0-10,C6,99,0.18722,1.92958,"14,949",10.30648435,,,,
T4,1,10-20,F8,100,0.1463614,1.404125,14.949,9.593547206,,,,
T4,2,0-10,F9,101,0.1989861,2.112998,14.934,10.61882212,Tray A,w/in,,
T4,2,10-20,C12,101,0.1819403,1.846426,15.124,10.14852674,Tray A,w/in,13.47,Do-Over
T4,2,10-20,A4,102,0,1.511381,16.757,#DIV/0!,,,,Do-Over
T4,3,0-10,C4,103,0.2495002,2.856424,15.013,11.44858401,,,,
T4,3,10-20,D6,104,0.1859905,1.776534,14.98,9.551745923,,,,
T4,4,0-10,D3,105,0.01074598,0.03123518,14.961,2.906685105,,,,Do-OVer
T4,4,10-20,D7,106,0.1438568,1.306119,15.038,9.079299692,,,,
T4,5,0-10,D2,107,0.2641948,3.087973,15.005,11.68824292,,,,
T4,5,10-20,C5,108,0.1465543,1.973366,15.011,13.46508427,,,,
T5,1,0-10,G5,109,0.282374,2.757347,14.937,9.764875661,,,,
T5,1,10-20,D4,110,0.1665817,1.648126,15.047,9.893799859,,,,
T5,2,0-10,B11,111,0.2898979,2.557592,15.065,8.822388848,,,,
T5,2,10-20,B12,112,0.1765245,1.472635,15.051,8.342383069,,,,
T5,3,0-10,B9,113,0.2911629,2.529749,15.047,8.688431802,,,,
T5,3,10-20,B10,114,0.2044487,1.31991,15.066,6.45594714,,,,
T5,4,0-10,D10,115,0.2814967,2.411969,15.068,8.568373981,,,,
T5,4,10-20,D8,116,0.1614079,0.9877889,14.964,6.119829946,,,,
T5,5,0-10,F10,117,0.2562251,2.329665,15.121,9.092259111,,,,
T5,5,10-20,D12,118,0.07477295,0.5209506,15.092,6.967099733,,,,
T6,1,0-10,G6,119,0.2249146,1.904257,15.11,8.466577981,,,,
T6,1,10-20,A9,120,0.05122024,1.831352,17.338,35.75445957,,,,
T6,2,0-10,G4,121,0.1746393,1.284215,15.06,7.3535281,,,,
T6,2,10-20,A12,122,0.0279658,1.156815,18.515,41.36534624,,,,
T6,3,0-10,G1,123,0.2018141,1.558581,15.012,7.722854845,,,,
T6,3,10-20,G2,124,0.160731,1.087623,15.07,6.76672826,,,,
T6,4,0-10,F12,125,0.2190976,1.895314,14.881,8.650546606,,,,
T6,4,10-20,E12,126,0.2057581,1.675692,15.094,8.143990443,,,,
T6,5,0-10,F1,127,0.1793611,1.268491,15.073,7.072274869,,,,
T6,5,10-20,F3,128,0.1464531,0.9699344,15.099,6.622832839,,,,
